Applicant,Edu_Parent1,Edu_Parent2,Gender,White,Asian,HSGPA,SAT/ACT,College,Admitted,Enrolled,College_GPA
4458,7,6,F,1,0,3.85,1280,Arts & Letters,No,No,
4459,6,6,F,1,0,2.91,1060,Arts & Letters,No,No,
4460,3,4,M,1,0,4.23,1230,Business & Economics,Yes,No,
4461,3,3,M,0,1,3.27,980,Business & Economics,No,No,
4462,6,6,F,1,0,3.33,1140,Arts & Letters,No,No,
4463,1,1,M,0,0,2.52,980,Arts & Letters,No,No,
4464,6,6,M,0,1,3.86,1320,Business & Economics,Yes,Yes,2.843
4465,4,4,M,1,0,2.89,1080,Business & Economics,No,Yes,1.684
4466,6,6,F,1,0,4.08,1170,Business & Economics,No,No,
4467,3,3,F,0,1,4.00,870,Math & Science,No,No,
4468,5,6,M,0,1,4.25,1310,Math & Science,Yes,Yes,3.180
4469,6,7,F,1,0,3.42,1320,Math & Science,Yes,No,
4470,2,1,F,0,0,3.46,910,Business & Economics,No,No,
4471,6,5,F,1,0,2.70,860,Arts & Letters,No,No,
4472,6,6,F,1,0,3.64,1190,Business & Economics,No,No,
4473,6,6,M,0,0,2.86,790,Math & Science,No,No,
4474,7,7,M,1,0,3.64,1490,Business & Economics,Yes,Yes,2.725
4475,3,3,M,1,0,3.67,1060,Arts & Letters,No,No,
4476,6,6,M,1,0,2.77,1160,Math & Science,No,No,
4477,6,6,M,0,1,3.38,1250,Math & Science,No,No,
4478,3,3,F,0,1,3.50,900,Business & Economics,No,No,
4479,6,4,M,1,0,4.00,1310,Arts & Letters,Yes,No,
4480,5,4,F,0,0,3.25,1090,Arts & Letters,No,No,
4481,4,6,M,1,0,3.48,1140,Arts & Letters,Yes,Yes,2.716
4482,6,7,F,1,0,3.59,1020,Math & Science,No,No,
4483,6,6,F,0,0,3.91,1230,Business & Economics,Yes,No,
4484,4,4,F,0,0,3.78,950,Business & Economics,No,No,
4485,6,7,F,1,0,3.08,1290,Arts & Letters,No,No,
4486,7,6,M,0,0,3.25,1250,Math & Science,No,No,
4487,7,6,F,1,0,3.71,1340,Arts & Letters,Yes,No,
4488,7,4,M,1,0,3.50,1050,Arts & Letters,No,No,
4489,6,6,F,1,0,3.92,1390,Arts & Letters,Yes,No,
4490,7,4,F,0,0,3.82,1190,Business & Economics,No,No,
4491,7,5,F,1,0,3.50,1090,Business & Economics,No,No,
4492,7,6,F,0,0,3.67,1430,Arts & Letters,No,No,
4493,3,3,F,0,1,4.05,1150,Math & Science,No,No,
4494,5,6,M,1,0,3.82,1340,Math & Science,Yes,No,
4495,6,3,F,1,0,3.44,1130,Math & Science,No,No,
4496,5,6,F,1,0,4.00,1250,Arts & Letters,No,No,
4497,3,2,F,0,0,3.50,890,Math & Science,No,No,
4498,6,4,F,0,0,3.17,1070,Arts & Letters,No,No,
4499,6,6,F,1,0,3.86,1190,Math & Science,Yes,No,
4500,3,5,F,1,0,4.08,1080,Math & Science,No,No,
4501,1,3,F,0,0,4.00,1030,Arts & Letters,No,No,
4502,7,4,F,1,0,2.95,1290,Math & Science,No,No,
4503,7,7,F,1,0,3.71,1420,Math & Science,No,No,
4504,7,6,F,1,0,3.09,1160,Arts & Letters,No,No,
4505,5,6,M,1,0,3.46,1130,Arts & Letters,No,No,
4506,4,4,F,0,0,2.85,970,Arts & Letters,No,No,
4507,6,6,F,1,0,3.68,1180,Math & Science,No,No,
4508,7,6,F,0,1,3.42,1250,Math & Science,No,No,
4509,7,6,M,0,0,3.39,1030,Arts & Letters,No,No,
4510,6,7,F,1,0,3.82,1140,Arts & Letters,No,No,
4511,6,6,F,0,1,3.10,910,Math & Science,No,No,
4512,7,7,M,0,0,3.55,1140,Math & Science,No,No,
4513,6,6,F,0,0,3.50,970,Arts & Letters,No,No,
4514,6,3,M,1,0,4.18,1130,Business & Economics,Yes,Yes,3.189
4515,4,6,M,0,0,4.14,1400,Arts & Letters,Yes,No,
4516,7,6,F,1,0,3.17,1330,Math & Science,No,No,
4517,7,6,M,0,0,3.75,1210,Business & Economics,Yes,Yes,3.512
4518,7,4,F,0,1,2.81,1050,Business & Economics,No,No,
4519,6,6,M,0,1,3.95,1430,Math & Science,Yes,No,
4520,2,5,F,1,0,4.06,960,Math & Science,No,No,
4521,7,6,F,1,0,4.21,1190,Arts & Letters,No,No,
4522,7,6,F,0,0,4.00,1150,Math & Science,Yes,No,
4523,6,6,F,0,0,4.14,1170,Business & Economics,No,No,
4524,6,4,M,1,0,3.75,1290,Business & Economics,Yes,Yes,3.202
4525,5,3,M,1,0,3.73,1070,Math & Science,No,No,
4526,7,5,M,0,0,4.24,1300,Math & Science,No,No,
4527,3,3,F,1,0,3.67,1200,Arts & Letters,No,No,
4528,7,7,F,0,1,3.95,1310,Business & Economics,No,No,
4529,6,6,M,0,1,4.25,1470,Business & Economics,Yes,No,
4530,3,4,F,1,0,3.05,1160,Arts & Letters,No,No,
4531,4,4,M,0,1,3.50,1340,Math & Science,No,No,
4532,7,7,M,1,0,3.68,1140,Business & Economics,No,No,
4533,6,6,M,0,1,3.85,1290,Math & Science,No,No,
4534,3,3,M,0,1,3.88,880,Math & Science,No,No,
4535,6,6,M,0,1,3.50,1190,Math & Science,No,No,
4536,3,5,M,1,0,4.17,1400,Math & Science,Yes,No,
4537,6,4,F,1,0,3.43,1110,Arts & Letters,No,No,
4538,3,6,F,0,0,3.38,1060,Arts & Letters,No,No,
4539,6,6,M,1,0,3.29,1170,Business & Economics,Yes,No,
4540,5,6,F,1,0,3.32,1090,Arts & Letters,No,No,
4541,4,7,F,1,0,3.64,1180,Business & Economics,No,No,
4542,6,6,F,0,1,4.25,1460,Business & Economics,Yes,No,
4543,6,6,F,0,0,3.54,1270,Math & Science,No,No,
4544,6,6,F,1,0,2.45,990,Arts & Letters,No,No,
4545,6,4,F,1,0,3.46,1100,Arts & Letters,No,No,
4546,5,7,F,1,0,3.82,850,Math & Science,No,No,
4547,6,7,F,0,1,3.06,1070,Arts & Letters,No,No,
4548,1,3,F,1,0,2.95,830,Math & Science,No,No,
4549,6,6,M,1,0,4.20,1350,Arts & Letters,Yes,Yes,3.301
4550,6,6,M,0,1,3.58,1270,Math & Science,No,No,
4551,6,7,F,1,0,4.36,1470,Math & Science,Yes,No,
4552,4,3,F,0,0,3.25,910,Math & Science,No,No,
4553,7,7,F,1,0,3.62,1240,Arts & Letters,No,No,
4554,7,6,F,0,1,4.36,1220,Math & Science,No,No,
4555,5,6,M,0,1,3.39,1060,Business & Economics,No,No,
4556,6,6,F,1,0,3.30,1220,Arts & Letters,No,No,
4557,6,6,F,1,0,3.68,1160,Math & Science,No,No,
4558,4,4,F,0,0,3.38,990,Arts & Letters,No,No,
4559,5,5,M,1,0,3.90,1400,Business & Economics,Yes,Yes,3.487
4560,6,7,F,1,0,4.11,1290,Math & Science,No,No,
4561,6,5,M,1,0,3.60,1180,Business & Economics,No,No,
4562,4,7,M,1,0,3.55,1260,Arts & Letters,Yes,No,
4563,4,4,M,0,0,3.35,1190,Arts & Letters,No,No,
4564,6,6,F,0,1,4.30,1090,Arts & Letters,Yes,No,
4565,6,6,F,1,0,3.82,1220,Arts & Letters,No,No,
4566,6,6,M,1,0,4.05,1350,Math & Science,Yes,No,
4567,4,6,F,1,0,3.62,1260,Arts & Letters,Yes,No,
4568,6,6,M,0,0,3.81,1260,Business & Economics,Yes,Yes,2.884
4569,6,6,F,0,0,3.21,910,Math & Science,No,No,
4570,6,7,F,0,0,4.14,1400,Math & Science,Yes,No,
4571,7,6,F,1,0,2.96,990,Business & Economics,No,No,
4572,6,6,F,1,0,3.45,1190,Arts & Letters,No,No,
4573,7,4,M,1,0,3.75,1480,Arts & Letters,Yes,No,
4574,7,7,M,1,0,3.33,720,Arts & Letters,No,No,
4575,7,6,F,1,0,3.83,1250,Arts & Letters,Yes,No,
4576,7,4,F,1,0,2.58,890,Arts & Letters,No,No,
4577,6,6,M,1,0,3.59,1280,Arts & Letters,Yes,No,
4578,6,6,F,1,0,3.68,1220,Arts & Letters,No,No,
4579,6,6,M,1,0,4.15,1270,Arts & Letters,Yes,Yes,3.676
4580,6,6,M,1,0,3.72,1460,Math & Science,Yes,Yes,2.535
4581,7,6,F,1,0,3.41,1080,Arts & Letters,No,No,
4582,6,5,F,1,0,3.14,1250,Arts & Letters,No,No,
4583,6,7,F,1,0,3.96,1150,Math & Science,No,No,
4584,5,6,M,0,1,3.61,1390,Math & Science,Yes,No,
4585,3,7,M,1,0,3.35,1380,Arts & Letters,Yes,No,
4586,7,7,M,1,0,4.07,1300,Math & Science,No,Yes,3.479
4587,4,6,M,1,0,3.62,1160,Math & Science,Yes,Yes,2.282
4588,7,6,M,1,0,3.27,1110,Business & Economics,No,No,
4589,1,1,M,0,1,3.27,1180,Math & Science,No,No,
4590,7,7,M,1,0,3.30,1010,Math & Science,No,No,
4591,6,6,M,1,0,4.30,980,Math & Science,No,No,
4592,7,6,M,1,0,3.20,1080,Math & Science,No,No,
4593,4,4,M,0,0,3.50,1000,Math & Science,No,No,
4594,7,6,F,1,0,3.85,1420,Business & Economics,Yes,No,
4595,7,4,M,1,0,3.00,1270,Arts & Letters,No,No,
4596,6,6,F,1,0,3.11,980,Math & Science,No,No,
4597,3,6,M,1,0,4.17,1390,Math & Science,Yes,No,
4598,6,5,M,1,0,3.86,1190,Arts & Letters,No,No,
4599,6,6,M,1,0,3.89,880,Arts & Letters,No,Yes,3.349
4600,6,7,F,1,0,3.65,1170,Arts & Letters,No,No,
4601,7,7,F,0,1,4.20,1310,Arts & Letters,No,No,
4602,6,6,M,1,0,3.15,1170,Arts & Letters,No,No,
4603,2,3,M,0,0,3.14,1030,Math & Science,No,No,
4604,7,7,M,1,0,2.63,1450,Business & Economics,No,No,
4605,3,4,F,1,0,3.32,1060,Arts & Letters,No,No,
4606,5,4,M,0,0,3.14,1160,Business & Economics,No,No,
4607,3,3,F,1,0,4.17,1260,Arts & Letters,Yes,No,
4608,5,6,F,1,0,3.65,1190,Business & Economics,No,No,
4609,6,6,F,1,0,3.35,1020,Arts & Letters,No,No,
4610,4,4,M,1,0,3.70,1120,Math & Science,No,No,
4611,7,6,M,1,0,3.82,1150,Math & Science,Yes,Yes,2.580
4612,6,6,F,1,0,3.78,1300,Arts & Letters,No,No,
4613,6,6,M,0,0,3.85,1250,Business & Economics,Yes,No,
4614,7,6,F,0,0,3.91,1330,Math & Science,Yes,No,
4615,4,7,F,1,0,3.64,920,Arts & Letters,No,No,
4616,6,7,F,1,0,3.06,1210,Arts & Letters,No,No,
4617,6,3,M,0,1,3.16,800,Math & Science,No,No,
4618,3,4,F,0,0,3.81,1030,Math & Science,No,No,
4619,4,7,F,1,0,4.12,1350,Math & Science,Yes,No,
4620,4,3,F,1,0,4.05,1040,Arts & Letters,No,No,
4621,3,3,M,1,0,3.75,1220,Math & Science,No,No,
4622,4,7,F,1,0,3.72,1110,Arts & Letters,No,No,
4623,7,7,F,1,0,3.20,970,Arts & Letters,No,No,
4624,4,3,F,0,1,3.82,1120,Math & Science,No,No,
4625,6,6,M,1,0,3.65,1220,Arts & Letters,No,No,
4626,6,4,F,1,0,3.33,1110,Business & Economics,No,No,
4627,6,5,M,0,0,3.19,1340,Business & Economics,No,No,
4628,7,4,M,1,0,3.86,1330,Math & Science,No,No,
4629,6,6,F,0,0,4.32,1310,Arts & Letters,Yes,No,
4630,6,5,M,1,0,4.29,1210,Business & Economics,Yes,Yes,3.228
4631,6,6,F,0,1,3.91,1260,Business & Economics,Yes,No,
4632,1,1,F,0,1,3.35,1080,Business & Economics,No,No,
4633,5,5,F,1,0,3.50,1190,Business & Economics,No,No,
4634,4,3,F,0,1,3.68,1160,Math & Science,No,No,
4635,7,6,M,1,0,3.83,1090,Business & Economics,No,No,
4636,6,5,M,1,0,3.15,1150,Business & Economics,No,No,
4637,4,6,M,1,0,3.58,1240,Math & Science,No,No,
4638,7,7,M,0,0,3.60,1090,Arts & Letters,No,No,
4639,2,4,F,0,0,4.27,1250,Math & Science,No,No,
4640,7,7,M,0,1,3.59,1240,Arts & Letters,Yes,Yes,3.161
4641,3,6,M,1,0,2.44,1190,Arts & Letters,No,No,
4642,4,4,F,1,0,3.82,1210,Arts & Letters,Yes,No,
4643,6,6,M,1,0,3.10,1520,Arts & Letters,No,No,
4644,6,6,M,0,0,3.77,1370,Business & Economics,Yes,No,
4645,6,6,M,1,0,4.25,1430,Business & Economics,Yes,No,
4646,5,6,F,1,0,4.15,1160,Math & Science,No,No,
4647,1,1,F,0,1,3.89,890,Arts & Letters,Yes,No,
4648,7,7,M,1,0,4.05,1250,Arts & Letters,No,No,
4649,7,7,M,0,0,4.14,1570,Business & Economics,Yes,No,
4650,7,6,F,1,0,3.85,1280,Business & Economics,Yes,No,
4651,6,6,M,1,0,3.29,1060,Arts & Letters,No,No,
4652,4,4,F,1,0,3.41,1010,Arts & Letters,No,No,
4653,7,4,F,1,0,3.88,1290,Arts & Letters,No,No,
4654,7,7,F,0,0,4.00,1100,Math & Science,No,No,
4655,6,6,F,0,1,3.77,1360,Business & Economics,Yes,No,
4656,6,7,F,1,0,3.70,1000,Math & Science,No,No,
4657,7,4,M,1,0,3.41,1030,Arts & Letters,No,No,
4658,7,7,M,0,0,3.75,1120,Arts & Letters,Yes,Yes,3.057
4659,3,6,M,1,0,3.86,1210,Business & Economics,No,No,
4660,6,4,F,0,1,3.87,1120,Math & Science,No,No,
4661,7,7,F,1,0,3.25,1020,Business & Economics,No,No,
4662,7,7,M,1,0,3.55,1330,Arts & Letters,Yes,No,
4663,6,7,F,1,0,3.45,1200,Arts & Letters,No,No,
4664,7,7,M,1,0,3.65,1400,Business & Economics,Yes,Yes,3.074
4665,6,6,M,1,0,3.22,1100,Math & Science,No,No,
4666,6,4,M,1,0,3.30,1170,Business & Economics,No,No,
4667,2,3,M,0,0,3.20,1090,Arts & Letters,No,No,
4668,6,6,M,0,0,3.68,1290,Math & Science,No,No,
4669,7,7,F,1,0,4.31,1390,Math & Science,Yes,No,
4670,1,3,F,0,0,3.69,1160,Math & Science,Yes,No,
4671,6,6,F,1,0,3.45,1080,Arts & Letters,No,No,
4672,7,3,F,1,0,3.41,1050,Arts & Letters,No,No,
4673,4,4,M,0,1,2.41,840,Math & Science,No,No,
4674,6,7,F,1,0,4.21,1290,Arts & Letters,Yes,No,
4675,6,3,F,0,0,4.20,1350,Arts & Letters,No,No,
4676,3,3,M,0,1,3.14,720,Business & Economics,No,No,
4677,6,6,M,0,1,3.91,1300,Business & Economics,Yes,No,
4678,7,7,F,1,0,3.81,1280,Arts & Letters,Yes,No,
4679,6,7,F,1,0,3.55,1210,Arts & Letters,Yes,No,
4680,6,6,M,0,1,3.62,1230,Math & Science,Yes,No,
4681,6,6,M,1,0,3.50,1400,Business & Economics,Yes,Yes,2.989
4682,3,3,F,1,0,3.33,1170,Arts & Letters,No,No,
4683,4,4,M,0,0,3.15,1230,Math & Science,No,No,
4684,3,3,F,1,0,4.00,1250,Business & Economics,Yes,No,
4685,6,6,M,0,0,3.50,1190,Math & Science,Yes,Yes,1.657
4686,6,7,M,1,0,2.82,960,Arts & Letters,No,No,
4687,4,4,F,0,1,4.40,1550,Math & Science,Yes,No,
4688,7,7,M,0,0,2.67,1500,Arts & Letters,No,No,
4689,7,5,F,1,0,3.50,1230,Arts & Letters,Yes,No,
4690,4,3,M,1,0,3.11,1210,Business & Economics,No,No,
4691,4,3,F,1,0,3.86,1170,Arts & Letters,No,No,
4692,4,6,F,1,0,4.30,1460,Arts & Letters,No,No,
4693,6,3,F,0,1,4.31,1010,Business & Economics,Yes,No,
4694,6,7,F,1,0,4.20,1370,Arts & Letters,Yes,No,
4695,6,7,F,1,0,3.77,1230,Math & Science,No,No,
4696,6,7,M,1,0,3.77,1320,Business & Economics,Yes,No,
4697,6,6,M,1,0,3.83,960,Business & Economics,No,No,
4698,6,5,F,1,0,3.55,990,Arts & Letters,No,No,
4699,6,3,F,0,1,3.46,1250,Business & Economics,No,No,
4700,5,5,M,1,0,3.25,1190,Business & Economics,No,No,
4701,6,4,M,0,0,2.95,1160,Math & Science,No,No,
4702,6,6,M,1,0,3.00,1140,Math & Science,No,No,
4703,6,6,M,1,0,3.43,1230,Business & Economics,No,No,
4704,6,6,M,1,0,3.33,1180,Math & Science,No,No,
4705,7,7,F,0,0,3.61,1210,Math & Science,No,No,
4706,7,6,M,1,0,4.09,1320,Business & Economics,Yes,No,
4707,7,7,F,1,0,3.11,1120,Arts & Letters,No,No,
4708,7,7,M,1,0,3.70,1140,Arts & Letters,No,No,
4709,7,6,F,0,0,4.32,1310,Math & Science,Yes,No,
4710,3,3,M,1,0,3.62,1020,Math & Science,No,No,
4711,6,6,M,1,0,4.10,1230,Business & Economics,Yes,Yes,2.287
4712,4,3,F,1,0,3.67,1170,Arts & Letters,No,No,
4713,6,7,M,1,0,4.00,1310,Arts & Letters,No,No,
4714,3,4,M,0,0,3.08,1090,Math & Science,No,No,
4715,4,4,F,1,0,2.94,1130,Arts & Letters,No,No,
4716,6,6,M,1,0,3.42,1030,Arts & Letters,No,No,
4717,7,6,F,1,0,3.15,970,Arts & Letters,No,No,
4718,7,4,F,0,0,3.02,1030,Arts & Letters,No,No,
4719,7,6,F,1,0,3.05,1230,Math & Science,No,No,
4720,6,3,M,0,0,3.32,1070,Math & Science,No,No,
4721,7,7,F,1,0,3.71,1300,Business & Economics,Yes,No,
4722,7,5,F,1,0,3.74,1320,Arts & Letters,No,No,
4723,7,7,F,1,0,3.76,1170,Arts & Letters,No,No,
4724,7,6,M,1,0,2.84,1200,Math & Science,No,No,
4725,6,7,M,0,0,2.67,1230,Business & Economics,No,No,
4726,6,7,M,0,0,3.13,1110,Business & Economics,No,No,
4727,5,4,M,0,1,4.11,1230,Math & Science,Yes,No,
4728,6,4,F,1,0,4.29,1310,Math & Science,Yes,No,
4729,5,1,F,0,1,3.68,1000,Math & Science,Yes,No,
4730,6,6,M,1,0,3.35,1260,Arts & Letters,No,No,
4731,4,4,F,0,1,4.08,1300,Math & Science,Yes,No,
4732,7,6,F,1,0,3.19,1040,Math & Science,No,No,
4733,7,5,F,1,0,4.05,1210,Arts & Letters,No,No,
4734,7,7,F,0,0,3.57,730,Math & Science,No,No,
4735,4,6,F,0,1,3.83,1170,Math & Science,No,No,
4736,6,5,F,1,0,3.82,1180,Business & Economics,No,No,
4737,6,7,M,1,0,3.45,1200,Business & Economics,Yes,Yes,2.934
4738,5,6,M,0,1,2.82,910,Business & Economics,No,No,
4739,2,1,F,0,0,4.23,1050,Math & Science,Yes,No,
4740,6,5,F,1,0,3.23,1010,Arts & Letters,No,No,
4741,6,5,F,0,0,3.25,1010,Math & Science,No,No,
4742,6,7,M,1,0,4.18,1220,Business & Economics,Yes,No,
4743,6,6,M,1,0,3.70,1280,Math & Science,No,No,
4744,7,5,F,0,0,3.38,920,Arts & Letters,No,No,
4745,2,5,M,0,0,3.50,1270,Math & Science,No,No,
4746,6,6,M,0,0,2.64,890,Math & Science,No,No,
4747,5,4,F,0,0,3.09,940,Business & Economics,No,No,
4748,1,3,F,1,0,3.55,880,Arts & Letters,No,No,
4749,4,4,F,0,0,4.05,1060,Arts & Letters,No,No,
4750,3,1,F,0,1,3.67,1130,Math & Science,Yes,No,
4751,6,2,F,0,0,4.30,990,Math & Science,Yes,No,
4752,7,6,F,1,0,3.71,1190,Math & Science,No,No,
4753,6,6,F,1,0,3.45,1310,Arts & Letters,No,No,
4754,6,4,F,0,0,3.35,1130,Arts & Letters,No,No,
4755,6,7,F,0,0,4.04,1180,Arts & Letters,Yes,No,
4756,7,6,F,1,0,4.05,1360,Arts & Letters,Yes,No,
4757,7,4,M,0,0,4.30,1210,Business & Economics,No,No,
4758,1,1,F,0,1,4.05,1210,Math & Science,Yes,No,
4759,5,7,F,0,1,4.25,1460,Math & Science,Yes,No,
4760,6,7,M,0,0,4.03,1490,Arts & Letters,No,Yes,3.164
4761,6,7,M,1,0,4.05,1430,Arts & Letters,Yes,No,
4762,7,7,M,0,1,3.50,1540,Math & Science,Yes,No,
4763,3,6,F,1,0,3.58,1110,Math & Science,No,No,
4764,1,2,F,0,0,3.95,1270,Arts & Letters,Yes,No,
4765,2,2,M,0,1,3.19,940,Business & Economics,Yes,Yes,0.967
4766,4,7,F,1,0,4.20,1210,Math & Science,No,No,
4767,4,6,M,0,0,4.05,1230,Arts & Letters,Yes,No,
4768,3,3,F,0,0,3.94,920,Business & Economics,No,No,
4769,2,2,F,0,0,3.65,890,Business & Economics,No,No,
4770,3,3,M,0,0,2.41,910,Arts & Letters,No,No,
4771,2,1,F,0,0,4.00,1070,Arts & Letters,Yes,No,
4772,6,3,M,1,0,3.47,1230,Business & Economics,No,No,
4773,7,7,F,1,0,3.62,1340,Arts & Letters,No,No,
4774,1,1,F,0,0,2.96,1010,Math & Science,No,No,
4775,7,5,F,1,0,3.52,1030,Arts & Letters,No,No,
4776,6,3,F,1,0,2.95,1150,Math & Science,No,No,
4777,3,4,M,1,0,4.18,1210,Business & Economics,Yes,No,
4778,2,3,M,0,0,1.57,820,Math & Science,No,No,
4779,2,1,M,0,0,3.77,960,Math & Science,No,No,
4780,6,6,M,1,0,3.20,900,Business & Economics,No,No,
4781,6,4,F,1,0,3.19,1040,Math & Science,No,No,
4782,6,6,M,1,0,2.80,1120,Arts & Letters,No,No,
4783,1,1,M,0,0,3.25,1230,Arts & Letters,No,No,
4784,7,7,M,1,0,3.50,1220,Math & Science,No,No,
4785,1,4,F,0,0,3.61,700,Math & Science,No,No,
4786,3,3,F,1,0,4.00,1060,Math & Science,No,No,
4787,6,6,F,1,0,3.60,1230,Business & Economics,Yes,No,
4788,3,3,M,1,0,3.45,1170,Arts & Letters,Yes,Yes,2.921
4789,3,3,F,1,0,3.84,1190,Math & Science,Yes,No,
4790,1,3,M,0,0,3.27,710,Math & Science,No,No,
4791,6,6,F,0,0,2.86,1030,Business & Economics,No,No,
4792,7,6,F,1,0,3.00,1090,Business & Economics,No,No,
4793,6,6,F,0,0,3.39,800,Business & Economics,No,No,
4794,2,2,M,0,0,3.50,1050,Business & Economics,No,No,
4795,3,3,F,0,0,3.58,1040,Arts & Letters,No,No,
4796,6,6,M,1,0,3.95,1130,Arts & Letters,Yes,Yes,2.586
4797,7,6,M,1,0,3.36,1210,Arts & Letters,Yes,No,
4798,3,3,M,0,0,3.64,1010,Arts & Letters,No,No,
4799,6,6,F,1,0,4.12,1290,Arts & Letters,Yes,No,
4800,7,6,M,1,0,4.12,1480,Arts & Letters,Yes,No,
4801,4,6,F,1,0,3.70,1050,Math & Science,No,No,
4802,4,6,F,1,0,3.54,1060,Math & Science,No,No,
4803,7,6,F,1,0,3.15,1250,Arts & Letters,No,No,
4804,6,6,F,0,0,3.55,1130,Business & Economics,No,No,
4805,4,3,F,0,0,3.62,1050,Arts & Letters,No,No,
4806,5,5,F,1,0,3.94,1030,Math & Science,No,No,
4807,4,4,M,0,0,2.94,930,Math & Science,No,No,
4808,6,6,F,1,0,3.85,1210,Arts & Letters,Yes,No,
4809,6,6,M,0,0,2.50,1040,Business & Economics,No,No,
4810,6,6,M,1,0,3.40,1290,Math & Science,No,No,
4811,7,6,M,1,0,3.22,1260,Business & Economics,No,No,
4812,7,6,F,1,0,3.83,1260,Math & Science,No,No,
4813,7,6,M,1,0,3.82,1240,Math & Science,Yes,Yes,3.377
4814,4,7,M,1,0,4.10,1180,Math & Science,No,No,
4815,7,6,M,0,1,3.09,1380,Business & Economics,No,No,
4816,3,5,F,1,0,3.35,1060,Arts & Letters,No,No,
4817,1,1,F,0,0,2.86,920,Arts & Letters,No,No,
4818,7,7,F,1,0,3.45,1270,Arts & Letters,No,No,
4819,1,1,F,0,0,4.10,1210,Arts & Letters,No,No,
4820,1,3,F,0,0,3.81,950,Arts & Letters,Yes,No,
4821,7,7,F,1,0,3.77,1290,Arts & Letters,Yes,No,
4822,6,5,M,1,0,3.35,1020,Math & Science,No,No,
4823,1,4,F,0,1,3.45,1080,Math & Science,No,No,
4824,1,1,M,0,1,3.05,980,Math & Science,No,No,
4825,3,6,F,0,1,3.25,890,Arts & Letters,No,No,
4826,4,7,F,1,0,3.40,920,Arts & Letters,No,No,
4827,3,5,F,1,0,3.68,1130,Math & Science,No,No,
4828,6,3,M,0,0,3.77,1120,Math & Science,Yes,Yes,3.081
4829,7,4,F,0,0,3.81,1470,Business & Economics,Yes,No,
4830,6,7,F,0,1,4.15,1260,Business & Economics,Yes,No,
4831,1,1,M,0,0,3.82,890,Math & Science,No,No,
4832,6,6,M,1,0,3.87,1310,Arts & Letters,Yes,Yes,3.120
4833,7,4,M,1,0,2.85,1040,Business & Economics,No,No,
4834,1,3,M,0,0,3.10,1030,Business & Economics,No,No,
4835,6,6,F,0,0,4.36,1280,Math & Science,Yes,No,
4836,7,6,F,0,1,3.97,1460,Math & Science,Yes,No,
4837,6,3,F,1,0,3.55,1210,Math & Science,No,No,
4838,7,6,F,1,0,2.92,1050,Arts & Letters,No,No,
4839,5,3,F,0,0,3.70,900,Math & Science,No,No,
4840,4,3,F,0,0,3.00,970,Arts & Letters,No,No,
4841,6,6,M,1,0,3.76,1550,Business & Economics,Yes,No,
4842,2,4,F,0,0,3.65,1080,Arts & Letters,Yes,No,
4843,7,5,F,1,0,3.16,1010,Arts & Letters,No,No,
4844,6,6,M,1,0,3.82,1340,Business & Economics,Yes,Yes,3.583
4845,7,4,M,1,0,3.86,1140,Business & Economics,Yes,Yes,2.897
4846,6,7,F,1,0,3.95,1100,Math & Science,No,No,
4847,6,4,F,0,0,3.25,1370,Arts & Letters,No,No,
4848,5,6,F,1,0,2.75,930,Business & Economics,No,No,
4849,4,4,F,1,0,3.67,1000,Math & Science,No,No,
4850,3,6,F,1,0,3.70,1160,Business & Economics,No,No,
4851,6,6,M,1,0,3.85,1110,Business & Economics,Yes,No,
4852,4,7,F,0,0,3.75,950,Math & Science,No,No,
4853,7,7,M,1,0,3.52,1100,Business & Economics,No,No,
4854,4,7,F,0,1,3.75,980,Arts & Letters,No,No,
4855,7,5,M,0,0,2.86,1080,Math & Science,No,No,
4856,6,6,M,1,0,4.00,1210,Arts & Letters,No,Yes,2.965
4857,3,4,M,1,0,3.28,1030,Math & Science,No,No,
4858,6,5,F,1,0,3.95,970,Math & Science,No,No,
4859,6,7,F,0,0,3.11,1190,Math & Science,No,No,
4860,6,6,F,1,0,3.63,1240,Business & Economics,No,No,
4861,6,6,M,0,1,3.28,1110,Arts & Letters,No,No,
4862,7,6,F,0,1,3.59,1320,Math & Science,No,No,
4863,6,7,M,0,1,4.18,1290,Arts & Letters,Yes,No,
4864,6,7,M,1,0,3.56,1290,Math & Science,No,No,
4865,5,6,M,1,0,2.95,1110,Math & Science,No,No,
4866,2,3,F,0,0,3.90,1070,Math & Science,Yes,No,
4867,7,6,M,0,0,3.40,1330,Math & Science,No,No,
4868,6,6,F,1,0,3.32,1190,Arts & Letters,No,No,
4869,6,6,M,0,0,3.00,900,Business & Economics,No,No,
4870,6,6,F,1,0,3.32,1180,Arts & Letters,No,No,
4871,6,4,F,0,0,2.91,1060,Business & Economics,No,No,
4872,7,7,M,0,0,3.42,1380,Business & Economics,Yes,No,
4873,7,7,F,0,0,3.77,920,Math & Science,No,No,
4874,4,4,F,1,0,3.04,1100,Business & Economics,No,No,
4875,4,4,M,1,0,3.46,1450,Arts & Letters,No,No,
4876,6,6,M,1,0,3.57,1160,Business & Economics,Yes,Yes,3.013
4877,6,7,F,1,0,3.50,1180,Arts & Letters,No,No,
4878,4,5,F,1,0,4.40,1180,Arts & Letters,No,No,
4879,4,4,F,1,0,3.45,890,Math & Science,No,No,
4880,7,6,F,1,0,3.36,1250,Arts & Letters,No,No,
